Internal Audit	(33.6839473,-117.79469419999998) 
The Nest	(33.6839473,-117.79469419999998) 
B.C.'s Cavern on the Green	(33.6458943,-117.84444830000001) 
Schneiderman Lecture Hall	(33.6455842,-117.84468219999997) 
Steinhaus Hall	(33.6473562,-117.84819500000003) 
Cancer Research Institute	(33.6462211,-117.84486349999997) 
McGaugh Hall	(33.6451745,-117.84476860000001) 
Qureshey Research Laboratory	(33.6465853,-117.84575910000001) 
Herklotz Research Facility	(33.6463548,-117.84611610000002) 
Herklotz Research Facility	(33.6463548,-117.84611610000002) 
Bonney Research Laboratory	(33.6465934,-117.8461982) 
Greenhouse	(33.6223374,-117.82206630000002) 
Biological Sciences Administration	(33.6437564,-117.84644170000001) 
Herklotz Research Facility: Annex	(33.6839473,-117.79469419999998) 
Center for the Neurobiology of Learning & Memory	(33.6839473,-117.79469419999998) 
Natural Sciences I	(33.6443948,-117.84573069999999) 
Biological Sciences III	(33.6453342,-117.84617309999999) 
Science Library	(33.6458762,-117.84675709999999) 
KUCI Radio Station	(33.646367,-117.84716159999999) 
Arts Computation Engineering Trailers	(33.6464716,-117.846878) 
Humanities Interim Classroom Facility	(33.6839473,-117.79469419999998) 
Studio Art Trailer	(33.6469328,-117.84683280000002) 
Infant/Toddler Center	(33.646699,-117.82981480000001) 
Founders' Court	(33.6839473,-117.79469419999998) 
Krieger Hall	(33.64762109999999,-117.84351400000003) 
Little Theatre	(33.6839473,-117.79469419999998) 
Humanities Hall	(33.6473211,-117.84399719999999) 
Drama Design Laboratory	(33.6839473,-117.79469419999998) 
Humanities Instructional Building	(33.648362,-117.84391519999997) 
Humanities Gateway	(33.64822650000001,-117.84443039999996) 
Intercollegiate Athletics Building (IAB)	(33.6839473,-117.79469419999998) 
Farm School/Red Barn	(33.6839473,-117.79469419999998) 
Anteater Instruction & Research Building	(33.6839473,-117.79469419999998) 
Extended Day Center	(33.6445212,-117.83139470000003) 
Anteater Recreation Center	(33.643364,-117.82812050000001) 
Court Building	(33.6435407,-117.82681539999999) 
Field Building	(33.6421715,-117.82602550000001) 
Claire Trevor Theatre	(33.6839473,-117.79469419999998) 
University Art Gallery	(33.6839473,-117.79469419999998) 
CyberA Cafe	(33.6839473,-117.79469419999998) 
Beall Center for Art & Technology	(33.6839473,-117.79469419999998) 
Costume Shop	(33.6839473,-117.79469419999998) 
Studio Theatre	(33.6839473,-117.79469419999998) 
Dance Studios	(33.6419999,-117.82797170000003) 
